Stock,Date,Headline,Content,Label
Caesars Entertainment,4/13/2020,,Shareholders of Caesars Entertainment would probably like to forget the past six months even happened. The stock dropped 30.2 ...,Fake
Caesars Entertainment,4/13/2020,Caesars Entertainment Inc. stock outperforms competitors on strong trading day,"Shares of Caesars Entertainment Inc. advanced 5.41% to $28.07 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index rising 2.13% to 5,638.94 and ...",Real
Caesars Entertainment,4/13/2020,,"Caesars stock soared after the stock buyback news was released, making it the top advancer in the S&P 500 Wednesday afternoon ...",Real
Caesars Entertainment,4/13/2020,Yahoo Finance,Caesars Entertainment (CZR ... reaching an annual record of $13.71 billion in 2024—an increase from $11.04 billion in the year prior. Caesars’ stock declined less than 1% on Tuesday trading ...,Real
Caesars Entertainment,4/13/2020,Benzinga.com,"In the last three months, 8 analysts have published ratings on Caesars Entertainment CZR ... Caesars' US presence roughly doubled with the 2020 acquisition by Eldorado, which built its first ...",Fake
Caesars Entertainment,4/13/2020,Seeking Alpha,Caesars Entertainment's stock has remained stagnant for nearly ... Caesars is the result of Eldorado Resorts buying Caesars in 2020 and keeping the target's corporate name) famously went private ...,Fake
Caesars Entertainment,4/13/2020,Seeking Alpha,Caesars Entertainment (NASDAQ:CZR) edged higher in postmarket trading on Tuesday after posting a mixed Q4 earnings report. Revenue fell 1.1% year-over-year to $2.8 billion. The Las Vegas and ...,Real
Caesars Entertainment,4/13/2020,Investing,"Shares of Caesars Entertainment (NASDAQ:CZR), a leading gambling stock, traded around 3% higher ... operating expenses by 3% year-over-year to $2.13 billion. And that strong expense management ...",Real
Caesars Entertainment,4/13/2020,Nasdaq,"Price Targets: Gaining insights, analysts provide estimates for the future value of Caesars Entertainment's stock. This comparison ... roughly doubled with the 2020 acquisition by Eldorado ...",Real
APA Corporation,4/17/2020,Business Insider,2023 APA Corporation Registered Shs 1.00 2.79 USD 2022 APA Corporation Registered Shs 0.75 1.61 USD 2021 APA Corporation Registered Shs 0.24 0.88 USD 2020 APA ... Shs 0.17 0.68 USD 2000 APA ...,Fake
APA Corporation,4/17/2020,,The stock's fall snapped a five-day winning streak.,Fake
APA Corporation,4/17/2020,,Citi lowered the firm’s price target on APA Corp. (APA) to $20 from $24 and keeps a Neutral rating on the shares. The firm updated oil and gas ...,Real
APA Corporation,4/17/2020,Yahoo Finance,"In this article, we are going to take a look at where APA Corporation (NASDAQ ... down from 62% in 2020. Rising inflation has cut into retirees’ spending power, and 68% of them are burdened ...",Fake
APA Corporation,4/17/2020,Yahoo Finance,we are going to take a look at where APA Corporation (NASDAQ:APA) stands against other 52-week low dividend stocks to avoid. Navigating the stock market can feel like sailing through stormy seas ...,Fake
APA Corporation,4/17/2020,MarketWatch,"Shares of APA Corp. APA shed 8.74% to $18.89 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index SPX falling 1.76% to 5,849.72 and Dow ...",Real
APA Corporation,4/17/2020,APA Corp. stock underperforms Monday when compared to competitors,"Shares of APA Corp ... which the company reached on April 8th. The stock underperformed when compared to some of its competitors Monday, as EOG Resources Inc. fell 5.04% to $120.54, Schlumberger ...",Real
Carnival Corporation,4/15/2020,Carnival Corp. stock underperforms Tuesday when compared to competitors,"Shares of Carnival Corp. shed 5.80% to $21.91 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index falling 1.22% to 5,778.15 and Dow ...",Real
Carnival Corporation,4/15/2020,Yahoo Finance,"The company was forced to issue lots of new stock, thereby diluting shareholders, and Carnival's outstanding share count is 90% higher than it was at the beginning of 2020. Carnival was forced to ...",Fake
Carnival Corporation,4/15/2020,CNN,"Carnival Corp. engages in the operation of cruise ships. It operates through the following business segments: North America and Australia (NAA) Cruise, Europe and Asia (EA) Cruise Operations ...",Real
Carnival Corporation,4/15/2020,MarketWatch,"Shares of Carnival Corp. CCL rallied 1.43% to $25.61 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index SPX rising 0.53% to 6,118. ...",Real
