Stock,Date,Headline,Snippet,Label,Open,High,Low,Close,Volume,Return,Volatility,Ticker,EWMA_Volatility
Caesars Entertainment,4/13/2020,,Shareholders of Caesars Entertainment would probably like to forget the past six months even happened. The stock dropped 30.2 ...,Fake,18.25,18.4,15.65,17.09,5851000,-0.0563,0.1946,CZR,0.1786
Caesars Entertainment,4/13/2020,Caesars Entertainment Inc. stock outperforms competitors on strong trading day,"Shares of Caesars Entertainment Inc. advanced 5.41% to $28.07 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index rising 2.13% to 5,638.94 and ...",Real,18.25,18.4,15.65,17.09,5851000,-0.0563,0.1946,CZR,0.1786
Caesars Entertainment,4/13/2020,,"Caesars stock soared after the stock buyback news was released, making it the top advancer in the S&P 500 Wednesday afternoon ...",Real,18.25,18.4,15.65,17.09,5851000,-0.0563,0.1946,CZR,0.1786
Caesars Entertainment,4/13/2020,Yahoo Finance,Caesars Entertainment (CZR ... reaching an annual record of $13.71 billion in 2024—an increase from $11.04 billion in the year prior. Caesars’ stock declined less than 1% on Tuesday trading ...,Real,18.25,18.4,15.65,17.09,5851000,-0.0563,0.1946,CZR,0.1786
Caesars Entertainment,4/13/2020,Benzinga.com,"In the last three months, 8 analysts have published ratings on Caesars Entertainment CZR ... Caesars' US presence roughly doubled with the 2020 acquisition by Eldorado, which built its first ...",Fake,18.25,18.4,15.65,17.09,5851000,-0.0563,0.1946,CZR,0.1786
Caesars Entertainment,4/13/2020,Seeking Alpha,Caesars Entertainment's stock has remained stagnant for nearly ... Caesars is the result of Eldorado Resorts buying Caesars in 2020 and keeping the target's corporate name) famously went private ...,Fake,18.25,18.4,15.65,17.09,5851000,-0.0563,0.1946,CZR,0.1786
Caesars Entertainment,4/13/2020,Seeking Alpha,Caesars Entertainment (NASDAQ:CZR) edged higher in postmarket trading on Tuesday after posting a mixed Q4 earnings report. Revenue fell 1.1% year-over-year to $2.8 billion. The Las Vegas and ...,Real,18.25,18.4,15.65,17.09,5851000,-0.0563,0.1946,CZR,0.1786
Caesars Entertainment,4/13/2020,Investing,"Shares of Caesars Entertainment (NASDAQ:CZR), a leading gambling stock, traded around 3% higher ... operating expenses by 3% year-over-year to $2.13 billion. And that strong expense management ...",Real,18.25,18.4,15.65,17.09,5851000,-0.0563,0.1946,CZR,0.1786
Caesars Entertainment,4/13/2020,Investing,"Investing.com -- Caesars (NASDAQ:CZR) Entertainment, Inc. (NASDAQ: CZR), today, launched the first branded version of Pixiu Gaming’s Keno title, Lucky Bonus Draw Keno, on its online casino ...",Fake,18.25,18.4,15.65,17.09,5851000,-0.0563,0.1946,CZR,0.1786
Caesars Entertainment,4/13/2020,Nasdaq,"Price Targets: Gaining insights, analysts provide estimates for the future value of Caesars Entertainment's stock. This comparison ... roughly doubled with the 2020 acquisition by Eldorado ...",Real,18.25,18.4,15.65,17.09,5851000,-0.0563,0.1946,CZR,0.1786
APA Corporation,4/17/2020,Business Insider,2023 APA Corporation Registered Shs 1.00 2.79 USD 2022 APA Corporation Registered Shs 0.75 1.61 USD 2021 APA Corporation Registered Shs 0.24 0.88 USD 2020 APA ... Shs 0.17 0.68 USD 2000 APA ...,Fake,6.7474,7.6984,6.7203,7.6894,26718200,0.1335,0.1672,APA,0.1243
APA Corporation,4/17/2020,,The stock's fall snapped a five-day winning streak.,Fake,6.7474,7.6984,6.7203,7.6894,26718200,0.1335,0.1672,APA,0.1243
